FID_,COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,MEASURE,OFFSET,EVENTTYPE,AGENCY_CD,STATION_NM,STATE_CD,STATE,SITESTATUS,DA_SQ_MILE,LON_SITE,LAT_SITE,LON_NHD,LAT_NHD,NHD2GAGE_D,REVIEWED,BFIYRS,BFI_AVE,BFI_STDEV,GOTBFI,DAY1,DAYN,NDAYS,NDAYSGT0,MIN_,P1,P5,P10,P20,P25,P30,P40,P50,P60,P70,P75,P80,P90,P95,P99,MAX_,AVE,STDEV_,GOTQ,HUC,HUC_REG,SUBREGION,ACCOUNTING
NA,0,11/21/2006 0:00:00,17040210000302,NA,medium,0,0,"USGS, Water Resources Division",NA,13079600,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13079600,69.142771,0,StreamGage,USGS,SUBLETT CREEK AT SUBLETT CAMPGROUND NR SUBLETT ID,16,ID,I,24,-113.004434,42.326581,-113.004432,42.326595,1.507,Y,2,0.961,0.01,1,19651001,19670930,730,730,1.3,1.4,1.6,1.8,1.9,1.9,1.9,2,2,2.1,2.2,2.2,2.2,2.3,2.5,2.7,2.9,2.043,0.248,1,17040210,17,1704,170402
NA,0,11/21/2006 0:00:00,17100308000098,NA,medium,0,0,"USGS, Water Resources Division",NA,14357500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14357500,51.035142,0,StreamGage,USGS,"BEAR CREEK AT MEDFORD, OR",41,OR,A,289,-122.866705,42.324015,-122.866554,42.32431,35.223,Y,85,0.584,0.092,1,19150301,20040930,31305,31304,0,1.1,7,12,21,25,30,39,52,71,103,125,156,265,415,900,10900,114.68,218.781,1,17100308,17,1710,171003
NA,0,11/21/2006 0:00:00,17040211000204,NA,medium,0,0,"USGS, Water Resources Division",NA,13088510,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13088510,46.139291,0,StreamGage,USGS,COTTONWOOD CREEK NR OAKLEY ID,16,ID,I,-999999,-114.022519,42.294078,-114.022552,42.29409,2.959,Y,4,0.599,0.082,1,19930813,19990930,1721,1718,0,0.032,0.5,0.98,1.3,1.4,1.6,2.1,2.9,4,6.9,9.5,14,42,68.9,145,216,13.158,26.376,1,17040211,17,1704,170402
NA,0,11/21/2006 0:00:00,17040211000204,NA,medium,0,0,"USGS, Water Resources Division",NA,13088500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13088500,70.179709,0,StreamGage,USGS,BIG COTTONWOOD CREEK NR OAKLEY ID,16,ID,I,29,-114.036964,42.280467,-114.033065,42.277767,439.588,Y,5,0.665,0.064,1,19091201,19150825,1870,1867,0,0.1,0.455,0.8,1.5,1.8,2,2.3,2.9,3.6,5.7,8.4,12,36,56,100,125,10.899,19.432,1,17040211,17,1704,170402
NA,0,11/21/2006 0:00:00,17040210000037,NA,medium,0,0,"USGS, Water Resources Division",NA,13079200,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13079200,13.416336,0,StreamGage,USGS,CASSIA CREEK NR ELBA ID,16,ID,I,84,-113.515284,42.276023,-113.515281,42.275947,8.522,Y,6,0.754,0.037,1,19561130,19621130,2192,2192,2.3,2.9,3.6,4.6,6.06,6.7,7.19,8.5,10,13,19,22,29,42,60.35,135.14,204,19.574,24.262,1,17040210,17,1704,170402
NA,0,11/21/2006 0:00:00,17040210000042,NA,medium,0,0,"USGS, Water Resources Division",NA,13079500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13079500,39.870993,0,StreamGage,USGS,CASSIA CREEK NR CONANT ID,16,ID,I,104,-113.457063,42.273608,-113.457041,42.273205,45.052,Y,2,0.771,0.025,1,19100101,19120731,943,943,1,1,1,2,6,6.5,7.3,10,14,20,43,64,72,90.6,153.6,281.68,358,38.843,55.713,1,17040210,17,1704,170402
NA,0,11/21/2006 0:00:00,17050102000255,NA,medium,0,0,"USGS, Water Resources Division",NA,13164000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13164000,85.538851,0,StreamGage,USGS,MARYS CREEK AT TINDALL ID,16,ID,I,-999999,-115.894186,42.267163,-115.894262,42.267201,7.548,Y,2,0.34,0.007,1,19100916,19130831,1081,858,0,0,0,0,0,0.7,1.2,2.5,4.5,6.2,15.4,24,35,96,161.9,268,500,28.198,57.463,1,17050102,17,1705,170501
NA,0,11/21/2006 0:00:00,17100309000045,NA,medium,0,0,"USGS, Water Resources Division",NA,14368500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14368500,63.522724,0,StreamGage,USGS,"POWELL CREEK NEAR WILLIAMS, OREG.",41,OR,I,8.6,-123.295611,42.266508,-123.294847,42.265537,125.322,Y,12,0.464,0.114,1,19461001,19580930,4383,4383,0.8,1.1,1.4,1.6,2,2.2,2.5,3.5,5.2,8.1,13,16,20,38,61,167,584,16.229,35.274,1,17100309,17,1710,171003
NA,0,11/21/2006 0:00:00,17100311000235,NA,medium,0,0,"USGS, Water Resources Division",NA,14377500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14377500,91.849192,0,StreamGage,USGS,"DEER CREEK NEAR DRYDEN, OREG.",41,OR,I,22,-123.451172,42.263727,-123.452069,42.264799,140.565,Y,14,0.379,0.082,1,19411201,19560930,5418,5418,0.9,1.2,1.7,2.1,3.4,4.6,6.4,14,28,43,63,77,95,155,269.3,833.24,2900,73.932,170.493,1,17100311,17,1710,171003
NA,0,11/21/2006 0:00:00,17040210000066,NA,medium,0,0,"USGS, Water Resources Division",NA,13079100,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13079100,45.122307,0,StreamGage,USGS,CASSIA CREEK AB STINSON CREEK NR ELBA ID,16,ID,I,7.25,-113.655966,42.252544,-113.655967,42.252543,0.1,Y,9,0.694,0.059,1,19650724,19750506,3574,3574,0.23,0.33,0.53,0.7,0.92,1,1.2,1.5,1.7,2.2,3,3.725,4.8,10,16.25,29,42,3.95,5.765,1,17040210,17,1704,170402
NA,0,11/21/2006 0:00:00,17040213000109,NA,medium,0,0,"USGS, Water Resources Division",NA,13107000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13107000,2.191461,0,StreamGage,USGS,CEDAR CREEK NR ROSEWORTH ID,16,ID,I,130,-114.86493,42.247025,-114.86517,42.247061,20.107,Y,16,0.733,0.079,1,19090601,19700228,5869,4651,0,0,0,0,0,0.2,1.1,12,17,22,34,41,52,69,80,100,200,25.339,27.471,1,17040213,17,1704,170402
NA,0,11/21/2006 0:00:00,17100309000089,NA,medium,0,0,"USGS, Water Resources Division",NA,14366000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14366000,58.249871,0,StreamGage,USGS,"APPLEGATE RIVER NEAR APPLEGATE, OR",41,OR,A,483,-123.140048,42.241511,-123.140281,42.240406,125.071,Y,66,0.635,0.116,1,19381001,20040930,24107,24107,4.6,13,25,41,84,120,151,212,273,380,546,658,787,1220,1710,3869.2,33100,537.863,937.517,1,17100309,17,1710,171003
NA,0,11/21/2006 0:00:00,17120007000204,NA,medium,0,0,"USGS, Water Resources Division",NA,10369500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10369500,65.381052,0,StreamGage,USGS,"MUD CREEK NEAR PLUSH,OREG.",41,OR,I,18,-120.167732,42.233217,-120.162666,42.237819,661.356,Y,1,0.854,-999999,1,19110426,19500930,659,659,3,3.6,5.5,7.8,19,31,44,100,1630,2820,3460,3830,4260,11000,18000,22200,26100,3396.532,5306.498,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17100310000226,NA,medium,0,0,"USGS, Water Resources Division",NA,14372000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14372000,34.442232,0,StreamGage,USGS,"GRAVE CREEK NEAR PLACER, OREG.",41,OR,I,45.6,-123.34284,42.627618,-123.342849,42.627246,41.531,Y,5,0.416,0.132,1,19130711,19550930,1908,1908,0.6,0.9,2,2.6,4.5,6.1,9.1,16,37,71,114,137,168,303.4,550,1157.3,4510,123.492,249.849,1,17100310,17,1710,171003
NA,0,11/21/2006 0:00:00,17100311000100,NA,medium,0,0,"USGS, Water Resources Division",NA,14377100,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14377100,75.486672,0,StreamGage,USGS,"ILLINOIS RIVER NEAR KERBY, OR",41,OR,A,380,-123.66368,42.231779,-123.664047,42.231414,50.682,Y,43,0.454,0.074,1,19611001,20040930,15706,15706,13,19,28,38,60,83,112,250.8,494.5,790,1200,1470,1790,3100,5010,11293,64000,1254.933,2328.597,1,17100311,17,1710,171003
NA,0,11/21/2006 0:00:00,17040213006173,NA,medium,0,0,"USGS, Water Resources Division",NA,13106700,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13106700,2.083333,0,StreamGage,USGS,CEDAR CREEK RES NR ROSEWORTH ID,16,ID,I,128,-114.880163,42.223763,-114.880346,42.223833,16.892,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17040213,17,1704,170402
NA,0,11/21/2006 0:00:00,17040213001785,NA,medium,0,0,"USGS, Water Resources Division",NA,13106000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13106000,79.501197,0,StreamGage,USGS,SALMON RIVER CANAL CO CANAL NR ROGERSON ID,16,ID,A,-999999,-114.737752,42.220819,-114.737652,42.220929,14.833,Y,57,0.727,0.23,1,19370401,20040831,21066,7363,0,0,0,0,0,0,0,0,0,0,226,282,327,413,473,559,660,120.912,179.161,1,17040213,17,1704,170402
NA,0,11/21/2006 0:00:00,17120007000181,NA,medium,0,0,"USGS, Water Resources Division",NA,10370000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10370000,77.207522,0,StreamGage,USGS,"CAMAS CREEK NEAR LAKEVIEW,OREG.",41,OR,I,63,-120.102452,42.216274,-120.102447,42.216148,14.093,Y,25,0.567,0.102,1,19121001,19730930,9131,9131,1.3,1.8,2.6,3.8,5.5,6,6.8,8.7,12,20,37,50,66,139,213,381.68,2000,46.618,82.588,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17100308000124,NA,medium,0,0,"USGS, Water Resources Division",NA,14354200,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14354200,53.726111,0,StreamGage,USGS,"BEAR CREEK BLW ASHLAND CREEK AT ASHLAND, OR",41,OR,A,168,-122.722255,42.215964,-122.722633,42.215904,31.741,Y,14,0.603,0.137,1,19900701,20040930,5206,5206,0.9,5.207,9.135,14,19,23,26,36,45,54,67,79,98,189,318.65,796.72,6910,87.58,180.108,1,17100308,17,1710,171003
NA,0,11/21/2006 0:00:00,17120007000215,NA,medium,0,0,"USGS, Water Resources Division",NA,10369000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10369000,96.110118,0,StreamGage,USGS,"CAMAS CREEK NEAR PLUSH,OREG.",41,OR,I,32,-120.167732,42.216551,-120.166919,42.214876,198.795,Y,0,0,0,0,19110426,19120831,250,250,1,1,1,1.5,3.6,6,11,20.4,38,54,64,70,89.2,169.9,193,227.96,242,54.537,59.504,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17040213006218,NA,medium,0,0,"USGS, Water Resources Division",NA,13106500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13106500,23.285042,0,StreamGage,USGS,SALMON RIVER CANAL CO RES NR ROGERSON ID,16,ID,I,1610,-114.733316,42.212275,-114.73357,42.212236,21.255,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17040213,17,1704,170402
NA,0,11/21/2006 0:00:00,17040211000026,NA,medium,0,0,"USGS, Water Resources Division",NA,13084000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13084000,40.396121,0,StreamGage,USGS,GOOSE CREEK NR OAKLEY ID,16,ID,I,670,-113.910563,42.203225,-113.910592,42.20334,13.176,Y,2,0.718,0.111,1,19090526,19110630,766,766,20,22,25,26,30,33,36,41,47,61,89,104,118,181.2,240,445.05,879,83.292,87.603,1,17040211,17,1704,170402
NA,0,11/21/2006 0:00:00,17040213006215,NA,medium,0,0,"USGS, Water Resources Division",NA,13105500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13105500,32.625194,0,StreamGage,USGS,SALMON FALLS CREEK NR TWIN FALLS ID,16,ID,I,1560,-114.740386,42.202916,-114.735574,42.202638,395.889,Y,0,0,0,0,19090531,19100528,273,273,25,25.74,30,37,42,45,47.2,50,68,246,432,500,543.6,667,811.1,1445.2,1650,274.143,309.766,1,17040213,17,1704,170402
NA,0,11/21/2006 0:00:00,17120007000154,NA,medium,0,0,"USGS, Water Resources Division",NA,10371000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10371000,97.566791,0,StreamGage,USGS,"DRAKE CREEK NEAR ADEL,OREG.",41,OR,I,67,-120.012449,42.199886,-120.012443,42.199886,0.484,Y,22,0.53,0.177,1,19150318,19730930,8264,8264,0.82,2.5,3.5,4,4.8,5.2,5.6,6.4,7,7.8,8.8,9.6,12,21,43.75,182,1670,14.829,43.096,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17050102002146,NA,medium,0,0,"USGS, Water Resources Division",NA,13170000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13170000,29.467595,0,StreamGage,USGS,LITTLE JACKS CREEK NR BRUNEAU ID,16,ID,I,100,-116.000926,42.833227,-116.000892,42.833187,5.306,Y,10,0.058,0.064,1,19381101,19491026,4013,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.9,18.86,235,0.801,6.034,1,17050102,17,1705,170501
NA,0,11/21/2006 0:00:00,17040211000175,NA,medium,0,0,"USGS, Water Resources Division",NA,13084500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13084500,43.322876,0,StreamGage,USGS,BIRCH CREEK NR OAKLEY ID,16,ID,I,37,-113.831402,42.197134,-113.831047,42.197395,41.234,Y,2,0.615,0.156,1,19120101,19150930,894,890,0,0.1,0.2,0.8,2.5,2.7,3,3,3.3,4,6.2,7.725,11,21,30.25,43,55,7.702,9.544,1,17040211,17,1704,170402
NA,0,11/21/2006 0:00:00,17100311000103,NA,medium,0,0,"USGS, Water Resources Division",NA,14377000,http://waterdata.usgs.gov/nwis/nwisman/?site_no=14377000,51.892536,0,StreamGage,USGS,"ILLINOIS RIVER AT KERBY, OREG.",41,OR,I,364,-123.656735,42.197057,-123.659217,42.196842,205.082,Y,34,0.448,0.079,1,19260301,19610930,12632,12632,9.6,18,28,35,54,70,97,252,515.5,825,1200,1400,1690,2780,4500,11000,44900,1197.572,2275.452,1,17100311,17,1710,171003
NA,0,11/21/2006 0:00:00,17120007001314,NA,medium,0,0,"USGS, Water Resources Division",NA,10370500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=10370500,30.521257,0,StreamGage,USGS,"CRANE CREEK NEAR LAKEVIEW,OREG.     (DUPLICATE1)",41,OR,I,7,-120.101063,42.199885,-120.100173,42.196334,403.763,Y,0,0,0,0,19140315,19140630,93,93,1,0,1.76,2,2,2,2,3.6,7,12,15,18,20,26,32.3,0,47,10.958,10.51,1,17120007,17,1712,171200
NA,0,11/21/2006 0:00:00,17040211003781,NA,medium,0,0,"USGS, Water Resources Division",NA,13083500,http://waterdata.usgs.gov/nwis/nwisman/?site_no=13083500,1.741331,0,StreamGage,USGS,OAKLEY RESERVOIR NR OAKLEY ID,16,ID,I,729,-113.915,42.195277,-113.916674,42.195937,155.914,Y,0,0,0,0,-99999,-99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17040211,17,1704,170402
